speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,teda_flag,prediction,kan_prediction,tflite_prediction
56,1489,13,6,-9,864.589966,-0.02,-0.06,0.13,0,1,1,0
55,1473,12,6,-9,815.265015,-0.02,-0.07,0.33,0,1,1,0
53,1417,12,6,-9,772.015015,-0.03,-0.05,0.24,0,1,1,0
49,1329,12,6,-9,695.474976,-0.02,-0.06,0.24,0,1,1,0
43,1192,12,6,-9,586.040039,-0.01,-0.03,0.31,0,1,1,0
36,1305,12,6,-9,526.049988,0.04,-0.04,0.05,0,1,1,0
29,1225,12,6,-9,424.375000,0.06,-0.04,0.07,0,1,1,1
23,1081,15,8,-8,400.054993,-0.01,-0.04,-0.08,0,1,1,0
18,1009,12,6,-5,265.079987,-0.01,-0.04,-0.07,0,1,1,0
17,1252,21,12,-22,486.040009,-0.02,-0.04,-0.04,0,1,1,0
20,1780,21,28,15,931.200012,0.01,-0.02,-0.05,0,1,1,0
24,2043,23,28,15,1129.180054,0.02,0,-0.03,0,1,1,0
27,2299,24,28,17,1292.224976,-0.11,-0.05,-0.07,0,1,1,0
30,1790,23,27,15,1165.650024,0.02,0.01,-0.04,0,1,1,0
32,1784,25,32,14,1370.879883,0.03,-0.01,0.02,0,1,1,0
35,1797,26,33,13,1494.979980,0.02,-0.02,-0.06,0,1,1,0
37,1828,26,34,13,1571.939941,0,-0.03,-0.06,0,1,1,0
39,1907,26,35,-1,1667.589966,-0.01,-0.04,-0.10,0,1,1,0
40,1509,27,36,12,1599.420044,-0.01,-0.02,-0.07,0,1,1,0
41,1541,27,37,12,1653.989990,-0.02,-0.01,-0.09,0,1,1,0
42,1571,26,36,12,1626.689941,-0.01,0,-0.04,0,1,1,0
43,1608,26,35,12,1641.119995,0.03,0.02,-0.04,0,1,1,0
45,1651,26,35,12,1700.400024,0.02,0.01,-0.02,0,1,1,0
46,1695,25,34,12,1678.000122,0.01,0.02,-0.06,0,1,1,0
47,1726,25,34,12,1711.530029,-0.01,-0.05,0.06,0,1,1,0
48,1739,25,34,13,1737.989990,-0.01,-0.02,0.03,0,1,1,1
49,1747,24,33,12,1700.269897,0,-0.03,0.02,0,1,1,0
